"Title",Rate,"Category",Year
"Giù la testa",7.6,"Drama, War, Western",1971
"Kelly's Heroes",7.6,"Adventure, Comedy, War",1970
"From Here to Eternity",7.6,"Drama, Romance, War",1953
"Lifeboat",7.6,"Drama, War",1944
"Saul fia",7.5,"Drama, War",2015
"Lone Survivor",7.5,"Action, Biography, Drama",2013
"Se, jie",7.5,"Drama, History, Romance",2007
"The Wind that Shakes the Barley",7.5,"Drama, War",2006
"Hooligans",7.5,"Crime, Drama, Sport",2005
"Malèna",7.5,"Comedy, Drama, Romance",2000
"Stalingrad",7.5,"Drama, War",1993
"Henry V",7.5,"Action, Biography, Drama",1989
"Tora! Tora! Tora!",7.5,"Action, Drama, History",1970
"MASH",7.5,"Comedy, Drama, War",1970
"The Guns of Navarone",7.5,"Action, Adventure, Drama",1961
"Darkest Hour",7.4,"Biography, Drama, Family",2017
"Mudbound",7.4,"Drama, War",2017
"Zero Dark Thirty",7.4,"Drama, History, Thriller",2012
"The Guernsey Literary and Potato Peel Pie Society",7.4,"Drama, Romance, War",2018
"Wonder Woman",7.4,"Action, Adventure, Fantasy",2017
"Chi bi",7.4,"Action, Adventure, Drama",2008
"Master and Commander: The Far Side of the World",7.4,"Action, Adventure, Drama",2003
"The English Patient",7.4,"Drama, Romance, War",1996
"Gallipoli",7.4,"Adventure, Drama, History",1981
"A Bridge Too Far",7.4,"Drama, History, War",1977
"13 Hours",7.3,"Action, Drama, History",2016
"American Sniper",7.3,"Action, Biography, Drama",2014
"Eye in the Sky",7.3,"Action, Drama, Thriller",2015
"Testament of Youth",7.3,"Biography, Drama, History",2014
"Max Manus",7.3,"Action, Biography, Drama",2008
"Rescue Dawn",7.3,"Action, Biography, Drama",2006
"Lincoln",7.3,"Biography, Drama, History",2012
"Crimson Tide",7.3,"Action, Drama, Thriller",1995
"Good Morning, Vietnam",7.3,"Biography, Comedy, Drama",1987
"Anthropoid",7.2,"Action, Biography, Drama",2016
"The Siege of Jadotville",7.2,"Action, Drama, History",2016
"Bajirao Mastani",7.2,"Action, Drama, History",2015
"'71",7.2,"Action, Crime, Drama",2014
"War Horse",7.2,"Action, Adventure, Drama",2011
"Che: Part One",7.2,"Biography, Drama, History",2008
"Mongol",7.2,"Action, Biography, Drama",2007
"Kingdom of Heaven",7.2,"Action, Adventure, Drama",2005
"We Were Soldiers",7.2,"Action, Drama, History",2002
"The Patriot",7.2,"Action, Drama, History",2000
"Cold Mountain",7.2,"Adventure, Drama, History",2003
"Michael Collins",7.2,"Biography, Drama, Thriller",1996
"Born on the Fourth of July",7.2,"Biography, Drama, War",1989
"Allied",7.1,"Action, Drama, Romance",2016
"The Railway Man",7.1,"Biography, Drama, Romance",2013
"War Dogs",7.1,"Biography, Comedy, Crime",2016
"Valkyrie",7.1,"Drama, History, Thriller",2008
"Flags of Our Fathers",7.1,"Action, Adventure, Drama",2006
"Three Kings",7.1,"Action, Adventure, Comedy",1999
"Seven Years in Tibet",7.1,"Adventure, Biography, Drama",1997
"Casualties of War",7.1,"Crime, Drama, War",1989
"Padmaavat",7.0,"Drama, History, Romance",2018
"The Water Diviner",7.0,"Drama, History, War",2014
"The Zookeeper's Wife",7.0,"Biography, Drama, History",2017
"Tropic Thunder",7.0,"Action, Comedy, War",2008
"Tau ming chong",7.0,"Action, Adventure, Drama",2007
"Jarhead",7.0,"Action, Biography, Drama",2005
"The Quiet American",7.0,"Drama, Romance, Thriller",2002
"Tigerland",7.0,"Drama, War",2000
"Kundun",7.0,"Biography, Drama, History",1997
"Outlaw King",6.9,"Action, Biography, Drama",2018
"Camp X-Ray",6.9,"Drama, War",2014
"Legend of the Guardians: The Owls of Ga'Hoole",6.9,"Animation, Action, Adventure",2010
"Free State of Jones",6.9,"Action, Biography, Drama",2016
"Che: Part Two",6.9,"Biography, Drama, History",2008
"Memphis Belle",6.9,"Action, Drama, War",1990
"Heartbreak Ridge",6.9,"Drama, War",1986
"Stripes",6.9,"Comedy, War",1981
"Tolkien",6.8,"Biography, Drama, Romance",2019
"Green Zone",6.8,"Action, Drama, Thriller",2010
"Elizabeth: The Golden Age",6.8,"Biography, Drama, History",2007
"Tristan + Isolde",6.8,"Action, Drama, Romance",2006
"Midway",6.7,"Action, Adventure, Drama",2019
"Fetih 1453",6.7,"Action, Drama, History",2012
"Seraphim Falls",6.7,"Action, Drama, Thriller",2006
"K-19: The Widowmaker",6.7,"Drama, History, Thriller",2002
"Victory",6.7,"Drama, Sport, War",1981
"Operation Finale",6.6,"Biography, Drama, History",2018
"Overlord",6.6,"Action, Adventure, Horror",2018
"Whiskey Tango Foxtrot",6.6,"Biography, Comedy, Drama",2016
"Yi dai zong shi",6.6,"Action, Biography, Drama",2013
"A Mighty Heart",6.6,"Biography, Drama, History",2007
"Australia",6.6,"Adventure, Comedy, Drama",2008
"Tears of the Sun",6.6,"Action, Drama, Thriller",2003
"U-571",6.6,"Action, War",2000
"Courage Under Fire",6.6,"Action, Drama, Mystery",1996
"Imperium",6.5,"Biography, Crime, Drama",2016
"How I Live Now",6.5,"Romance, Sci-Fi, Thriller",2013
"Act of Valor",6.5,"Action, Adventure, Thriller",2012
"12 Strong",6.5,"Action, Drama, History",2018
"The Lucky One",6.5,"Drama, Mystery, Romance",2012
"Flyboys",6.5,"Action, Drama, History",2006
"Beyond Borders",6.5,"Adventure, Drama, Romance",2003
"The Four Feathers",6.5,"Action, Adventure, Drama",2002
"The Lone Ranger",6.4,"Action, Adventure, Comedy",2013
"Centurion",6.4,"Action, Drama, History",2010
"The Sum of All Fears",6.4,"Action, Drama, Thriller",2002
"Rules of Engagement",6.4,"Drama, Thriller, War",2000
"Behind Enemy Lines",6.4,"Action, Drama, Thriller",2001
"Joan of Arc",6.4,"Adventure, Biography, Drama",1999
"Dracula Untold",6.3,"Action, Drama, Fantasy",2014
"King Arthur",6.3,"Action, Adventure, Drama",2004
"Hart's War",6.3,"Drama, War",2002
"Last Knights",6.2,"Action, Drama, History",2015
"The Men Who Stare at Goats",6.2,"Comedy, War",2009
"The Eagle",6.2,"Action, Adventure, Drama",2011
"Lions for Lambs",6.2,"Crime, Drama, Mystery",2007
"Outlander",6.2,"Action, Adventure, Fantasy",2008
"Hannibal Rising",6.2,"Adventure, Crime, Drama",2007
"Pearl Harbor",6.2,"Action, Drama, History",2001
"The Monuments Men",6.1,"Comedy, Drama, History",2014
"Coriolanus",6.1,"Drama, Thriller, War",2011
"Ironclad",6.1,"Action, Drama, History",2011
"Windtalkers",6.1,"Action, Drama, War",2002
"War Machine",6.0,"Comedy, Drama, War",2017
"Red Tails",5.9,"Action, Drama, History",2012
"Captain Corelli's Mandolin",5.9,"Drama, Music, Romance",2001
"G.I. Jane",5.9,"Action, Drama, War",1997
"Salò o le 120 giornate di Sodoma",5.9,"Drama, Horror, War",1975
"Air America",5.8,"Action, Comedy, War",1990
"1941",5.8,"Action, Comedy, War",1979
"Timeline",5.7,"Action, Adventure, Sci-Fi",2003
"Alexander",5.6,"Action, Biography, Drama",2004
"The Last Legion",5.4,"Action, Adventure, War",2007
"Pathfinder",5.4,"Action, Adventure, Drama",2007
"In the Land of Blood and Honey",4.5,"Drama, Romance, War",2011
"In the Name of the King: A Dungeon Siege Tale",3.8,"Action, Adventure, Fantasy",2007
